claim_id,policy_id,customer_id,country,state,claim_date,claim_type,loss_cause,claim_status,estimated_loss,deductible,coverage_limit,coverage_valid,severity_score,fraud_risk_score,adjuster_id
CLM00035,POL00112,CUST00112,UK,Scotland,1/4/2026,Bodily Injury,Rear-end accident,New,19671.84,1000,100000,True,74,46,ADJ012
CLM00036,POL00047,CUST00047,Australia,QLD,11/19/2025,Bodily Injury,Theft,Under Review,24130.77,250,100000,False,93,81,ADJ008
CLM00037,POL00059,CUST00059,USA,GA,3/19/2026,Property Damage,Parking lot damage,Paid,11494.9,1000,25000,True,46,11,ADJ011
CLM00038,POL00031,CUST00031,USA,IL,1/17/2026,Collision,Rear-end accident,Approved,29856.62,1000,250000,False,100,94,ADJ010
CLM00039,POL00063,CUST00063,UK,Northern Ireland,4/15/2026,Bodily Injury,Parking lot damage,Paid,9715.0,250,50000,True,45,22,ADJ004
CLM00040,POL00020,CUST00020,Australia,VIC,1/12/2026,Bodily Injury,Parking lot damage,Approved,22009.32,1000,250000,False,84,100,ADJ007
CLM00041,POL00015,CUST00015,Australia,SA,4/21/2026,Collision,Side collision,Paid,12631.65,500,50000,False,47,13,ADJ007
CLM00042,POL00029,CUST00029,USA,NY,11/13/2025,Property Damage,Side collision,New,2716.58,500,25000,False,20,64,ADJ005
CLM00043,POL00108,CUST00108,Australia,TAS,4/27/2026,Comprehensive,Side collision,Paid,28503.09,250,100000,False,100,72,ADJ006
CLM00044,POL00005,CUST00005,Australia,SA,2/1/2026,Property Damage,Parking lot damage,Under Review,8901.68,1000,100000,True,32,4,ADJ007
CLM00045,POL00084,CUST00084,Australia,TAS,3/19/2026,Property Damage,Parking lot damage,Approved,27471.12,1000,50000,True,94,43,ADJ007
CLM00046,POL00011,CUST00011,USA,NY,1/11/2026,Comprehensive,Hail damage,Closed,9103.12,250,50000,False,45,34,ADJ011
CLM00047,POL00065,CUST00065,USA,NY,4/17/2026,Property Damage,Parking lot damage,Under Review,21616.07,1000,50000,True,74,98,ADJ011
CLM00048,POL00001,CUST00001,Australia,QLD,2/6/2026,Collision,Theft,Approved,9243.1,500,25000,False,39,31,ADJ006
CLM00049,POL00032,CUST00032,Australia,SA,12/26/2025,Comprehensive,Vandalism,New,6628.68,500,100000,True,26,31,ADJ007
CLM00050,POL00074,CUST00074,Australia,NSW,4/29/2026,Bodily Injury,Rear-end accident,Denied,11540.65,1000,250000,False,42,86,ADJ006
CLM00051,POL00040,CUST00040,UK,Northern Ireland,2/15/2026,Property Damage,Side collision,Closed,21776.94,1000,250000,True,85,100,ADJ004
CLM00052,POL00003,CUST00003,USA,IL,4/17/2026,Comprehensive,Hail damage,Closed,19538.4,1000,50000,False,79,76,ADJ011
CLM00053,POL00120,CUST00120,UK,England,12/15/2025,Comprehensive,Theft,Paid,4524.21,1000,50000,False,16,25,ADJ001
CLM00054,POL00044,CUST00044,UK,Scotland,3/24/2026,Comprehensive,Theft,Under Review,21497.96,1500,100000,False,82,83,ADJ012
CLM00055,POL00067,CUST00067,UK,Northern Ireland,3/16/2026,Bodily Injury,Parking lot damage,New,9607.62,250,250000,True,34,65,ADJ004
CLM00056,POL00111,CUST00111,UK,Wales,3/23/2026,Comprehensive,Rear-end accident,Under Review,19016.02,1500,25000,True,73,73,ADJ001
CLM00057,POL00035,CUST00035,Australia,SA,4/28/2026,Collision,Side collision,New,19512.52,500,250000,False,73,95,ADJ007
CLM00058,POL00115,CUST00115,USA,AZ,1/19/2026,Collision,Vandalism,Approved,19094.55,500,100000,False,72,97,ADJ005
CLM00059,POL00110,CUST00110,USA,AZ,3/4/2026,Property Damage,Vandalism,Under Review,2884.46,250,100000,False,10,40,ADJ005
CLM00060,POL00078,CUST00078,Australia,NSW,1/2/2026,Property Damage,Theft,Under Review,18494.81,500,250000,True,71,92,ADJ006
CLM00061,POL00049,CUST00049,UK,Wales,2/6/2026,Property Damage,Vandalism,New,11588.3,250,50000,False,41,53,ADJ012
CLM00062,POL00009,CUST00009,USA,FL,4/4/2026,Bodily Injury,Side collision,Approved,4870.67,1500,50000,False,17,55,ADJ003
CLM00063,POL00002,CUST00002,Australia,NSW,1/18/2026,Comprehensive,Hail damage,Closed,27142.59,1500,250000,True,100,84,ADJ006
CLM00064,POL00100,CUST00100,UK,Wales,3/26/2026,Property Damage,Rear-end accident,Closed,14404.34,500,25000,False,57,69,ADJ001
CLM00065,POL00034,CUST00034,USA,NY,1/25/2026,Property Damage,Rear-end accident,Closed,7042.97,1500,25000,True,34,7,ADJ003
CLM00066,POL00038,CUST00038,Australia,WA,2/22/2026,Property Damage,Rear-end accident,Denied,25403.35,1500,50000,False,99,55,ADJ006
CLM00067,POL00083,CUST00083,UK,Scotland,1/15/2026,Comprehensive,Vandalism,Closed,22029.61,500,250000,True,85,52,ADJ012
CLM00068,POL00041,CUST00041,Australia,NSW,4/22/2026,Comprehensive,Side collision,Under Review,9191.6,250,50000,False,42,84,ADJ006
CLM00069,POL00098,CUST00098,USA,TX,2/23/2026,Collision,Hail damage,New,3577.93,500,25000,False,22,60,ADJ003
CLM00070,POL00090,CUST00090,Australia,SA,3/16/2026,Property Damage,Vandalism,Approved,2075.12,1000,100000,False,10,100,ADJ007
CLM00071,POL00101,CUST00101,Australia,NSW,12/24/2025,Property Damage,Theft,New,26874.1,250,25000,True,93,56,ADJ006
CLM00072,POL00094,CUST00094,UK,Wales,3/25/2026,Property Damage,Parking lot damage,Closed,22375.09,1000,250000,False,83,100,ADJ012
CLM00073,POL00021,CUST00021,Australia,SA,12/12/2025,Bodily Injury,Vandalism,Approved,1236.63,1000,50000,False,14,95,ADJ007
CLM00074,POL00013,CUST00013,USA,CA,12/7/2025,Bodily Injury,Parking lot damage,Paid,21965.73,250,25000,False,73,100,ADJ002
CLM00075,POL00027,CUST00027,Australia,SA,12/8/2025,Comprehensive,Hail damage,Paid,17818.06,500,50000,False,64,85,ADJ007
CLM00076,POL00013,CUST00013,USA,CA,11/12/2025,Comprehensive,Theft,New,28485.0,250,25000,False,97,49,ADJ003
CLM00077,POL00058,CUST00058,USA,NY,1/18/2026,Comprehensive,Parking lot damage,Approved,6713.83,1000,25000,False,37,100,ADJ005
CLM00078,POL00063,CUST00063,UK,Northern Ireland,3/31/2026,Comprehensive,Theft,Denied,29945.09,250,50000,True,100,79,ADJ004
CLM00079,POL00101,CUST00101,Australia,NSW,3/22/2026,Property Damage,Parking lot damage,Closed,10763.07,250,25000,True,46,87,ADJ008
CLM00080,POL00066,CUST00066,USA,FL,11/12/2025,Bodily Injury,Side collision,Denied,6373.73,1000,250000,True,28,36,ADJ010
CLM00081,POL00013,CUST00013,USA,CA,2/18/2026,Comprehensive,Parking lot damage,Closed,29481.11,250,25000,True,100,99,ADJ010
CLM00082,POL00062,CUST00062,USA,IL,12/31/2025,Bodily Injury,Side collision,Approved,17144.26,500,250000,False,65,45,ADJ002
CLM00083,POL00007,CUST00007,USA,FL,11/13/2025,Property Damage,Theft,Closed,12290.07,250,100000,False,51,100,ADJ002
CLM00084,POL00117,CUST00117,Australia,NSW,4/25/2026,Bodily Injury,Parking lot damage,Closed,3061.61,1500,250000,False,24,97,ADJ008
CLM00085,POL00086,CUST00086,USA,AZ,1/3/2026,Comprehensive,Side collision,Under Review,16503.4,1000,25000,False,63,26,ADJ005
CLM00086,POL00016,CUST00016,USA,AZ,12/6/2025,Comprehensive,Rear-end accident,Under Review,20342.64,1000,250000,False,74,96,ADJ005
CLM00087,POL00117,CUST00117,Australia,NSW,1/20/2026,Bodily Injury,Side collision,Paid,3690.94,1500,250000,True,16,1,ADJ006
CLM00088,POL00033,CUST00033,UK,Wales,3/26/2026,Property Damage,Theft,Paid,26508.94,1500,100000,False,100,88,ADJ001
CLM00089,POL00083,CUST00083,UK,Scotland,2/12/2026,Bodily Injury,Hail damage,Denied,27307.16,500,250000,True,93,98,ADJ012
CLM00090,POL00005,CUST00005,Australia,SA,12/20/2025,Collision,Vandalism,Closed,5870.64,1000,100000,True,24,5,ADJ007
CLM00091,POL00072,CUST00072,UK,Wales,12/30/2025,Comprehensive,Side collision,Closed,28892.34,1000,50000,False,100,24,ADJ009
CLM00092,POL00120,CUST00120,UK,England,12/2/2025,Collision,Hail damage,Closed,10549.98,1000,50000,False,49,100,ADJ009
CLM00093,POL00025,CUST00025,USA,NC,12/27/2025,Property Damage,Parking lot damage,Under Review,24407.81,500,25000,False,91,46,ADJ010
CLM00094,POL00077,CUST00077,Australia,QLD,3/19/2026,Collision,Vandalism,Paid,23879.95,500,50000,False,85,54,ADJ006
CLM00095,POL00117,CUST00117,Australia,NSW,12/25/2025,Bodily Injury,Theft,New,20325.73,1500,250000,True,72,30,ADJ006
CLM00096,POL00049,CUST00049,UK,Wales,3/3/2026,Collision,Side collision,Under Review,7639.0,250,50000,False,33,57,ADJ004
CLM00097,POL00092,CUST00092,Australia,SA,12/10/2025,Collision,Vandalism,Under Review,11266.9,1000,250000,False,44,16,ADJ007
CLM00098,POL00048,CUST00048,USA,NY,2/16/2026,Comprehensive,Rear-end accident,Approved,15448.72,1500,25000,True,60,89,ADJ002
CLM00099,POL00052,CUST00052,USA,AZ,11/23/2025,Bodily Injury,Hail damage,Under Review,7209.84,1000,250000,True,28,62,ADJ005
CLM00100,POL00064,CUST00064,UK,England,1/9/2026,Bodily Injury,Side collision,Approved,16815.11,250,250000,True,71,97,ADJ009
