task_id,claim_id,assigned_to,task_type,task_status,due_date
TASK00110,CLM00051,ADJ004,Review documents,Completed,2/27/2026
TASK00111,CLM00052,ADJ011,Verify coverage,In Progress,4/21/2026
TASK00112,CLM00052,ADJ011,Fraud review,Completed,5/8/2026
TASK00113,CLM00053,ADJ001,Verify coverage,In Progress,12/24/2025
TASK00114,CLM00053,ADJ001,Approve payment,Open,1/14/2026
TASK00115,CLM00053,ADJ001,Fraud review,In Progress,1/3/2026
TASK00116,CLM00054,ADJ012,Estimate damages,Open,4/23/2026
TASK00117,CLM00054,ADJ012,Contact customer,Open,4/2/2026
TASK00118,CLM00055,ADJ004,Estimate damages,Completed,4/2/2026
TASK00119,CLM00055,ADJ004,Contact customer,In Progress,4/15/2026
TASK00120,CLM00056,ADJ001,Contact customer,Open,4/10/2026
TASK00121,CLM00056,ADJ001,Review documents,Completed,3/31/2026
TASK00122,CLM00056,ADJ001,Review documents,Completed,3/27/2026
TASK00123,CLM00057,ADJ007,Estimate damages,In Progress,5/7/2026
TASK00124,CLM00058,ADJ005,Approve payment,Open,2/6/2026
TASK00125,CLM00059,ADJ005,Contact customer,Completed,3/20/2026
TASK00126,CLM00060,ADJ006,Estimate damages,In Progress,1/18/2026
TASK00127,CLM00060,ADJ006,Estimate damages,In Progress,1/5/2026
TASK00128,CLM00060,ADJ006,Verify coverage,Completed,1/11/2026
TASK00129,CLM00061,ADJ012,Review documents,Open,2/19/2026
TASK00130,CLM00061,ADJ012,Approve payment,Open,2/9/2026
TASK00131,CLM00061,ADJ012,Fraud review,Open,3/1/2026
TASK00132,CLM00062,ADJ003,Contact customer,Open,4/29/2026
TASK00133,CLM00062,ADJ003,Review documents,In Progress,4/11/2026
TASK00134,CLM00062,ADJ003,Verify coverage,In Progress,4/23/2026
TASK00135,CLM00063,ADJ006,Review documents,Open,1/23/2026
TASK00136,CLM00063,ADJ006,Verify coverage,In Progress,1/30/2026
TASK00137,CLM00063,ADJ006,Estimate damages,Completed,2/6/2026
TASK00138,CLM00064,ADJ001,Approve payment,In Progress,4/11/2026
TASK00139,CLM00064,ADJ001,Fraud review,Open,4/8/2026
TASK00140,CLM00064,ADJ001,Estimate damages,In Progress,4/22/2026
TASK00141,CLM00065,ADJ003,Contact customer,In Progress,1/28/2026
TASK00142,CLM00066,ADJ006,Contact customer,Completed,3/1/2026
TASK00143,CLM00067,ADJ012,Fraud review,Open,2/5/2026
TASK00144,CLM00068,ADJ006,Contact customer,Open,5/6/2026
TASK00145,CLM00068,ADJ006,Fraud review,Completed,5/20/2026
TASK00146,CLM00068,ADJ006,Verify coverage,In Progress,5/15/2026
TASK00147,CLM00069,ADJ003,Approve payment,Completed,2/27/2026
TASK00148,CLM00069,ADJ003,Approve payment,Open,3/19/2026
TASK00149,CLM00070,ADJ007,Fraud review,Open,3/20/2026
TASK00150,CLM00071,ADJ006,Verify coverage,In Progress,1/10/2026
TASK00151,CLM00071,ADJ006,Estimate damages,Open,1/13/2026
TASK00152,CLM00071,ADJ006,Review documents,In Progress,1/18/2026
TASK00153,CLM00072,ADJ012,Contact customer,Completed,4/18/2026
TASK00154,CLM00073,ADJ007,Verify coverage,In Progress,12/28/2025
TASK00155,CLM00073,ADJ007,Fraud review,Open,1/5/2026
TASK00156,CLM00073,ADJ007,Approve payment,In Progress,1/3/2026
TASK00157,CLM00074,ADJ002,Fraud review,Open,12/23/2025
TASK00158,CLM00074,ADJ002,Verify coverage,Completed,1/2/2026
TASK00159,CLM00074,ADJ002,Approve payment,Open,12/19/2025
TASK00160,CLM00075,ADJ007,Verify coverage,In Progress,12/17/2025
TASK00161,CLM00076,ADJ003,Contact customer,In Progress,12/11/2025
TASK00162,CLM00076,ADJ003,Approve payment,Open,11/26/2025
TASK00163,CLM00076,ADJ003,Fraud review,In Progress,11/24/2025
TASK00164,CLM00077,ADJ005,Verify coverage,Completed,2/5/2026
TASK00165,CLM00078,ADJ004,Fraud review,In Progress,4/13/2026
TASK00166,CLM00079,ADJ008,Verify coverage,Open,4/15/2026
TASK00167,CLM00080,ADJ010,Verify coverage,Completed,12/6/2025
TASK00168,CLM00081,ADJ010,Contact customer,Open,3/17/2026
TASK00169,CLM00081,ADJ010,Approve payment,Open,3/16/2026
TASK00170,CLM00082,ADJ002,Verify coverage,In Progress,1/23/2026
TASK00171,CLM00082,ADJ002,Contact customer,In Progress,1/12/2026
TASK00172,CLM00082,ADJ002,Review documents,In Progress,1/4/2026
TASK00173,CLM00083,ADJ002,Contact customer,Open,12/13/2025
TASK00174,CLM00084,ADJ008,Review documents,Completed,5/8/2026
TASK00175,CLM00084,ADJ008,Estimate damages,Completed,5/1/2026
TASK00176,CLM00085,ADJ005,Verify coverage,Open,2/2/2026
TASK00177,CLM00086,ADJ005,Fraud review,Completed,12/14/2025
TASK00178,CLM00087,ADJ006,Review documents,In Progress,2/11/2026
TASK00179,CLM00087,ADJ006,Review documents,Completed,1/25/2026
TASK00180,CLM00088,ADJ001,Review documents,Open,4/1/2026
TASK00181,CLM00088,ADJ001,Estimate damages,In Progress,4/12/2026
TASK00182,CLM00089,ADJ012,Estimate damages,Completed,3/14/2026
TASK00183,CLM00089,ADJ012,Estimate damages,In Progress,3/7/2026
TASK00184,CLM00090,ADJ007,Verify coverage,Open,1/14/2026
TASK00185,CLM00091,ADJ009,Verify coverage,Open,1/5/2026
TASK00186,CLM00091,ADJ009,Estimate damages,Completed,1/17/2026
TASK00187,CLM00091,ADJ009,Approve payment,Completed,1/16/2026
TASK00188,CLM00092,ADJ009,Approve payment,In Progress,12/29/2025
TASK00189,CLM00093,ADJ010,Approve payment,Open,1/26/2026
TASK00190,CLM00093,ADJ010,Fraud review,Completed,1/3/2026
TASK00191,CLM00094,ADJ006,Estimate damages,Open,4/4/2026
TASK00192,CLM00094,ADJ006,Estimate damages,Open,3/24/2026
TASK00193,CLM00095,ADJ006,Fraud review,In Progress,12/28/2025
TASK00194,CLM00095,ADJ006,Fraud review,Completed,1/13/2026
TASK00195,CLM00096,ADJ004,Approve payment,Completed,3/24/2026
TASK00196,CLM00096,ADJ004,Contact customer,Completed,4/2/2026
TASK00197,CLM00096,ADJ004,Review documents,Completed,3/22/2026
TASK00198,CLM00097,ADJ007,Fraud review,Completed,12/16/2025
TASK00199,CLM00097,ADJ007,Estimate damages,Completed,1/5/2026
TASK00200,CLM00097,ADJ007,Contact customer,In Progress,12/24/2025
TASK00201,CLM00098,ADJ002,Fraud review,Completed,3/3/2026
TASK00202,CLM00098,ADJ002,Contact customer,Completed,3/10/2026
TASK00203,CLM00098,ADJ002,Verify coverage,Open,3/11/2026
TASK00204,CLM00099,ADJ005,Approve payment,In Progress,12/23/2025
TASK00205,CLM00100,ADJ009,Contact customer,Open,2/5/2026
TASK00206,CLM00100,ADJ009,Estimate damages,In Progress,1/19/2026
TASK00207,CLM00103,ADJ009,Review claim and estimate damages,Open,2026-05-06
TASK00208,CLM00104,ADJ008,Review claim and estimate damages,Open,2026-05-06
TASK00209,CLM00105,ADJ012,Review claim and estimate damages,Open,2026-05-06
TASK00210,CLM00106,ADJ009,Review claim and estimate damages,Open,2026-05-06
TASK00211,CLM00107,ADJ008,Review claim and estimate damages,Open,2026-05-06
TASK00212,CLM00108,ADJ006,Review claim and estimate damages,Open,2026-05-06
TASK00213,CLM00109,ADJ005,Review claim and estimate damages,Open,2026-05-06
TASK00214,CLM00110,ADJ008,Review claim and estimate damages,Open,2026-05-07
TASK00215,CLM00111,ADJ008,Review claim and estimate damages,Open,2026-05-07
TASK00216,CLM00110,ADJ008,Review claim and estimate damages,Open,2026-05-07
TASK00217,CLM00111,ADJ008,Review claim and estimate damages,Open,2026-05-07
